[debug] elbow QVEL: 2318.3040248892744, Shoulder QVEL: -3327.2071695167297
[debug] elbow QVEL: 2129.6241249854156, Shoulder QVEL: -3550.6854787491907
[debug] elbow QVEL: 1605.0705548412989, Shoulder QVEL: -3856.7330565972898
[debug] elbow QVEL: 1589.801409977605, Shoulder QVEL: -3864.4178484300865
[debug] elbow QVEL: 1921.249589672617, Shoulder QVEL: -3684.5974409468818
[debug] elbow QVEL: 2488.2309649930003, Shoulder QVEL: -3384.2099103608202
[debug] elbow QVEL: 3053.2714421044893, Shoulder QVEL: -3129.116857416092
[debug] elbow QVEL: 3431.05300256166, Shoulder QVEL: -3074.265664554547
[debug] elbow QVEL: 3598.3641096191964, Shoulder QVEL: -3266.854882310373
[debug] elbow QVEL: 4122.007723391156, Shoulder QVEL: -3428.883680854274
[debug] elbow QVEL: 4573.675876691109, Shoulder QVEL: -3386.4758500902994
[debug] elbow QVEL: 4746.2953799326215, Shoulder QVEL: -3773.34503294654
[debug] elbow QVEL: 4681.954016889774, Shoulder QVEL: -4592.673453726218
[debug] elbow QVEL: 4357.123155581, Shoulder QVEL: -5665.44418275743
